Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KP,Passes1/3,PPA,CrsPA,PrgP,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,TakeonsAtt,Succ,Succ%,Tkld,Tkld%,Carries,CarriesTotDist,CarriesPrgDist,PrgC,Carries1/3,CPA,Mis,Dis,Rec,PrgR,SCA,SCA90,PassLive,PassDead,TO,SCASh,Fld,Def,GCA,GCA90,GCA_TypesPassLive,GCA_TypesPassDead,GCA_TypesTO,GCA_TypesSh,GCA_TypesFld,GCA_TypesDef
Lucas Bergvall,se SWE,MF,19.18,22.5,1,22,6,27.3,0.98,0.27,0.05,0.17,20.2,0,0,0,1.3,1.3,0.07,-1.3,-1.3,863,976,88.4,14242,2837,422,455,92.7,351,387,90.7,67,89,75.3,2,1.3,1.3,0.7,19,66,16,3,79,1211,47,248,641,345,35,1211,61,32,52.5,25,41,759,4587,2049,37,39,4,34,22,811,51,32,1.71,25,2,1,2,1,1,5,0.27,3,0,0,1,1,0
Yves Bissouma,ml MLI,MF,28.61,22.1,2,12,3,25,0.54,0.14,0.17,0.67,22.8,0,0,0,0.6,0.6,0.06,1.4,1.4,915,1025,89.3,13783,3770,496,530,93.6,341,368,92.7,40,69,58,0,0.3,0.8,-0.3,7,75,11,1,88,1240,80,349,725,180,5,1240,35,13,37.1,19,54.3,769,4563,2006,19,28,0,29,21,858,8,24,1.4,21,0,1,0,0,2,0,0,0,0,0,0,0,0
Djed Spence,eng ENG,DF,24.67,20.6,2,12,5,41.7,0.58,0.24,0.17,0.4,22.9,0,0,0,0.5,0.5,0.06,0.5,0.5,849,979,86.7,12004,3404,501,535,93.6,294,337,87.2,25,46,54.3,3,2,1.9,1,13,70,16,6,90,1202,64,403,546,271,26,1202,64,31,48.4,28,43.8,716,4219,2236,49,39,8,24,24,760,69,28,1.77,23,0,4,1,0,0,4,0.25,3,0,1,0,0,0
Ben Davies,wls WAL,DF,31.96,18.4,0,9,3,33.3,0.49,0.16,0,0,15.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5,1033,1147,90.1,19027,7891,373,399,93.5,566,594,95.3,77,120,64.2,0,0.2,0.3,-0.2,4,78,3,0,82,1331,214,642,599,92,21,1331,3,2,66.7,0,0,837,3910,2167,16,18,0,8,4,930,17,14,0.87,12,1,0,0,1,0,0,0,0,0,0,0,0,0
Cristian Romero,ar ARG,DF,26.95,16.8,1,15,8,53.3,0.89,0.48,0.07,0.13,9.6,0,0,0,1.4,1.4,0.09,-0.4,-0.4,1096,1234,88.8,20634,8351,366,401,91.3,634,677,93.6,84,132,63.6,0,0.5,1.2,-0.5,6,105,8,1,66,1394,171,602,736,66,22,1394,5,2,40,2,40,922,4823,2897,14,18,0,7,5,948,3,19,1.17,16,0,0,3,0,0,3,0.18,3,0,0,0,0,0
Fraser Forster,eng ENG,GK,37.07,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,303,354,85.6,6061,3867,96,97,99,163,169,96.4,37,80,46.3,0,0,0,0,0,1,0,0,0,403,364,403,0,0,0,403,1,1,100,0,0,209,952,536,0,0,0,2,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micky van de Ven,nl NED,DF,23.97,12.4,0,7,2,28.6,0.57,0.16,0,0,14.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,838,917,91.4,15765,4956,259,280,92.5,518,538,96.3,53,83,63.9,2,1.2,0.7,0.8,3,59,2,0,68,1014,110,497,485,42,10,1014,9,4,44.4,5,55.6,710,3216,1601,8,10,1,5,5,741,1,11,0.9,8,0,0,2,1,0,2,0.16,2,0,0,0,0,0
Timo Werner,de GER,"FW,MF",29.1,10.6,1,23,9,39.1,2.17,0.85,0.04,0.11,16.2,0,0,0,1.5,1.5,0.1,-1.5,-1.5,222,326,68.1,3390,898,112,139,80.6,86,120,71.7,12,27,44.4,3,3.2,2.3,-0.2,13,5,20,5,40,411,10,38,105,276,43,411,25,11,44,13,52,295,2315,1379,57,31,21,17,7,317,110,28,3.57,20,3,2,1,2,0,3,0.38,3,0,0,0,0,0
Antonín Kinský,cz CZE,GK,22.08,8.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,116,145,80,2699,1686,17,17,100,73,76,96.1,23,48,47.9,0,0.1,0,-0.1,1,2,0,0,1,156,134,154,2,0,0,156,0,0,,0,,97,444,267,1,0,0,0,0,98,0,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikey Moore,eng ENG,"FW,MF",17.66,7.1,1,13,5,38.5,1.84,0.71,0.08,0.2,18.4,0,0,0,0.9,0.9,0.07,0.1,0.1,155,209,74.2,2109,570,97,112,86.6,47,69,68.1,3,9,33.3,2,0.7,1,1.3,7,6,14,1,28,288,4,19,72,200,35,288,33,5,15.2,25,75.8,221,1599,768,27,18,13,14,13,237,75,18,3.29,12,2,2,1,1,0,4,0.73,3,0,0,1,0,0
Kevin Danso,at AUT,DF,26.56,6.9,0,5,2,40,0.73,0.29,0,0,11.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,333,369,90.2,5821,1956,120,129,93,193,206,93.7,15,26,57.7,0,0,0.1,0,1,16,2,2,12,434,55,225,191,19,7,434,4,3,75,1,25,304,1420,587,3,2,0,8,0,324,0,3,0.62,2,0,0,1,0,0,2,0.41,2,0,0,0,0,0
Wilson Odobert,fr FRA,FW,20.36,6.6,2,15,4,26.7,2.28,0.61,0.13,0.5,15.1,0,0,0,2.2,2.2,0.14,-0.2,-0.2,179,224,79.9,2350,427,126,135,93.3,42,55,76.4,5,8,62.5,0,0.3,0.3,-0.3,5,7,10,2,22,318,4,38,114,171,36,318,29,12,41.4,15,51.7,223,1689,964,38,23,16,15,16,233,51,11,1.72,9,0,0,2,0,0,1,0.16,1,0,0,0,0,0
Richarlison,br BRA,FW,27.92,6,3,14,5,35.7,2.32,0.83,0.14,0.4,14.1,0,1,1,2.4,1.6,0.13,0.6,0.4,76,116,65.5,1170,342,38,49,77.6,27,43,62.8,7,10,70,1,0.9,0.9,0.1,5,8,8,3,13,182,10,29,87,70,25,181,10,1,10,8,80,94,457,200,12,9,7,12,7,119,30,11,2.07,6,0,0,2,1,2,1,0.19,1,0,0,0,0,0
Mathys Tel,fr FRA,FW,19.95,5.5,2,11,6,54.5,2.01,1.1,0.09,0.17,17.7,0,1,1,1.6,0.8,0.08,-0.6,-0.8,64,80,80,1047,125,35,39,89.7,22,30,73.3,6,7,85.7,0,0.1,0.1,-0.1,3,4,2,1,5,129,0,13,51,68,17,128,18,4,22.2,12,66.7,94,589,248,8,7,3,9,6,91,17,6,1.52,4,0,0,2,0,0,0,0,0,0,0,0,0,0
